"","Symbol","Name","Sector","2020-01-02","2020-01-03","2020-01-06","2020-01-07","2020-01-08","2020-01-09","2020-01-10","2020-01-13","2020-01-14","2020-01-15","2020-01-16","2020-01-17","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-05","2020-10-06","2020-10-07","2020-10-08","2020-10-09","2020-10-12","2020-10-13","2020-10-14","2020-10-15","2020-10-16","2020-10-19","2020-10-20","2020-10-21","2020-10-22","2020-10-23","2020-10-26","2020-10-27","2020-10-28","2020-10-29","2020-10-30","2020-11-02","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-23","2020-11-24","2020-11-25","2020-11-27","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","2020-12-21","2020-12-22","2020-12-23","2020-12-24","2020-12-28","2020-12-29","2020-12-30","2020-12-31","2021-01-04","2021-01-05","2021-01-06","2021-01-07","2021-01-08","2021-01-11","2021-01-12","2021-01-13","2021-01-14","2021-01-15","2021-01-19","2021-01-20","2021-01-21","2021-01-22","2021-01-25","2021-01-26","2021-01-27","2021-01-28","2021-01-29","2021-02-01","2021-02-02","2021-02-03","2021-02-04","2021-02-05","2021-02-08","2021-02-09","2021-02-10","2021-02-11","2021-02-12","2021-02-16","2021-02-17","2021-02-18","2021-02-19","2021-02-22","2021-02-23","2021-02-24","2021-02-25","2021-02-26","2021-03-01","2021-03-02","2021-03-03","2021-03-04","2021-03-05"
"306","MET","MetLife Inc.","Financials",4416788,5162268,3266007,6578045,9880467,5793876,5526944,6924902,6611162,4542351,5388954,6083980,4656468,3530651,4264479,3943555,6493993,4090959,3857454,4584034,9442975,5276107,4774491,7645090,6536169,6698342,4513786,5972719,4999155,3762321,3469702,4554785,5528685,3686860,5307986,8697008,10896681,9898446,13487078,13640163,13068165,11119265,7750335,11269080,10764530,14628827,12698417,11010035,13653769,13500785,8949921,9725818,12073692,9082095,16241306,11712958,12972028,13538963,11542840,7336516,6287261,8939414,5379333,7139767,4855267,7687589,7997917,6563357,10681776,4460867,6984190,9861784,7147151,7119141,5212403,5456702,6105938,12189779,8255932,6213858,7509377,9826906,6057355,4534877,5795111,4012584,6394761,7470752,8669272,6864402,7748653,7858511,5742087,5460597,7288341,5149655,5131230,4054676,3395262,10388809,7665468,7253397,9444946,5134499,6710118,6419719,5821191,7917620,7587001,7861781,7285964,9547770,7142064,7492933,7392024,4980212,4138344,16568744,6181686,4041729,5830840,5867741,6508506,4404537,4752131,4774642,5015286,6119436,5137028,6549002,6104892,4602962,6441173,6833856,6050342,4496043,3867646,4298824,4519017,3703676,4074455,3324487,4463741,4732549,6805709,4636243,5862086,3982827,4227351,6111439,7612084,8486435,7439828,9162938,5930572,4630314,6627657,3669700,4592730,4789330,3550927,4503350,8843537,4100246,4160352,3444404,2884913,6714085,3646537,4544196,5854065,5426316,6629179,3936034,4908446,5326951,3190819,5111065,8558903,10021159,9705486,7868056,6715597,6048353,6527912,3957893,3915279,3805261,6040346,4128170,4697602,4122686,5766072,6762860,4694059,3980519,5811942,6503883,4624651,3646347,4689367,3745166,3865995,5834670,4917046,4804111,6717816,5451902,6959913,5097708,6523058,5636119,5860184,7828208,7936622,6063759,11758853,9444129,7381405,6804954,4814471,7336537,4615530,5627825,5361650,8214779,4406953,6427229,4933297,2378357,6815312,4649526,6364793,3924089,5154396,5406648,7708359,4687991,10610353,4238384,7001570,5522708,7155519,4253687,9359740,6421848,4954307,3946267,1580577,3266027,3025430,3146550,2856373,7752525,6121922,9356809,5076993,4415615,4699961,4347627,4517482,6249394,4568937,7029398,4805149,5223699,5322995,4081306,4588013,8023224,5444337,6851909,4566930,5171574,4456616,8095801,6965939,7773275,7043502,7280621,5332356,5363736,4293957,5440439,4136559,4791930,8342198,7380601,8871875,8664706,7306923,5278338,5833719,8059235,7073476,5968224
"307","MTD","Mettler Toledo","Health Care",150348,149695,187894,105772,148194,168203,167569,147174,152161,133621,103913,122857,164219,84584,83011,122978,144041,162530,111759,177384,157835,130799,160238,149746,180540,423424,216380,242082,107847,172521,123167,152245,111061,111784,147678,181142,184284,166991,206477,338666,306838,261913,181130,281369,231396,217512,197505,182241,259718,252471,294026,267235,279887,246887,299086,303355,223498,191934,460689,187986,292969,221846,148435,192848,166744,194078,151875,180148,186166,191150,198567,158317,135236,161055,133164,158437,151711,181249,138882,126369,174571,241820,213925,104431,76621,135571,111559,173977,182015,133424,155426,142436,129181,183381,149131,142801,137283,134016,163655,253920,199067,216716,300870,162632,131520,130051,158171,158582,120941,194545,121164,185913,109230,111849,118546,99735,77577,238253,160256,96767,132486,85116,169862,79400,124000,92600,78200,78300,101800,92000,162100,59000,79000,98100,144300,84900,116800,99365,78267,101559,107284,143866,116668,121860,108353,161437,248539,139536,120379,94857,95884,75281,70000,78143,94752,106556,80531,98146,96951,86918,77738,112622,76734,82703,102183,89464,87584,114932,96422,89244,99039,107325,152426,80830,90011,75774,89418,84388,96715,95171,141750,113721,118509,105195,72000,99482,85834,92600,168180,97641,81864,100426,116812,108103,92196,92965,80272,75765,94219,67231,74650,63537,76318,58530,115160,96742,68085,131104,111460,113593,91239,154787,97308,128850,169247,229800,186038,225221,186567,130580,127955,117526,135568,176626,101043,222998,99164,156991,132220,55947,177359,202914,92984,114956,172969,174173,124698,127212,81391,119331,142695,131793,156235,153128,320666,137171,111760,76535,43003,49567,86054,68022,110776,172300,122187,181029,125752,80673,97663,121515,118078,98029,89016,116928,131026,128431,98856,70853,83467,130188,137943,92292,86457,118266,126366,179482,221057,123487,71139,84743,106466,88715,133742,143685,156027,153326,99513,220889,164909,100515,190518,98977,116831,101647,176953,242953
"308","MGM","MGM Resorts International","Consumer Discretionary",3466734,3299309,4057730,3647168,4213432,2176406,3626735,3680745,4582849,3484874,7146943,7306392,10123212,7372843,7721172,6877476,8360976,5529883,5923468,6917461,6999944,4918167,5920014,3847515,4078426,7192878,5113413,5504073,12357446,15762937,10274889,9385864,6107011,6731843,8036621,11664339,14198020,16980608,14393950,18196585,15646200,15690299,14875471,22893756,19550025,26210451,43876787,47127116,37850286,41130777,32014388,31170831,47617839,39180169,56154180,31042748,51780465,53288428,46119012,36945063,32803698,25914910,30296702,20564879,37759069,32714059,41060939,30101384,40432460,30371485,26877726,20080761,20274209,33981734,24032890,19161783,13970953,24704557,19140493,30463796,28869875,32852595,27750085,27934211,22945138,22977140,16830409,26138733,23468067,21249270,24908418,35421924,33278557,25478802,32085367,24276324,37020794,31305921,20724117,38695613,42922538,28746584,24107094,21629093,26262214,41007035,57285088,56467020,38516252,31459668,39921121,40986581,31537559,32504707,39890059,18902157,24580845,28562541,20335324,15914132,30405869,24617624,27593632,26425798,18793011,31387924,17411005,19738378,14038920,16994231,20198136,17071722,32125660,17810960,30182301,16569836,19045950,16130335,15674100,12567522,26347937,16267307,24905904,21069070,21980463,26814530,31889053,16551950,27744689,18914230,35867707,34572117,71219701,34395957,23002361,13891894,12499613,12888721,13632526,8905855,8932439,11687554,16971984,11798633,8602156,17222067,23232440,16378502,10703506,15983882,20332933,17960536,16423019,11791834,17978627,17238663,15286439,17376901,19784210,16060205,29475209,15206027,11744724,11920608,11580954,9566132,9763278,12651179,10563708,11812736,10349617,8372978,13850432,9566418,10073458,9724008,8444955,12788031,11009207,9136223,8259707,7462447,7732526,6674058,10089066,11559313,8967479,11241043,18868686,12640295,16623874,9304891,6671790,8346832,9641901,7146866,25238734,10639742,8982138,13600021,15544777,16039236,8455562,14038020,9319401,8892603,12715338,12104600,7322184,4089225,9636762,6897824,7298795,8955573,15150886,8518916,6277619,8245440,7864922,7804222,9620195,6614824,7005818,6241531,11638092,8974042,5753087,4214331,1775172,5271713,4605184,4394142,15717620,23558573,10127334,12357627,9925169,15359813,8426405,7464427,6504152,6496539,8736484,11015328,7528567,6958832,8525949,15248142,8887953,10023434,7619741,7835562,6642825,9522779,5718799,8759477,11526394,9361214,8891744,12584131,10213949,6933125,12121745,10557741,7616183,8713439,12211043,15120092,15574118,13477794,14217016,7465934,9428415,8278518,12387076,10842675
"309","MCHP","Microchip Technology","Information Technology",4778551,10014975,2017235,6704476,2403277,2210856,3153930,2317083,3353508,6176035,2439318,2348058,2041441,1355469,1833221,2854901,2659909,1980342,1723901,2456080,3885441,2112454,3409896,6160552,2115986,2503760,2010173,2875563,2002626,1826001,1097528,1097172,1615483,1277256,2023596,3455108,2720529,3728315,4124209,5479657,4625134,5671329,4504310,4156883,5440355,6094905,6410937,9410004,10344215,6608385,6622755,7465456,6737793,6610672,5097291,9718025,8867417,8790832,4476036,4663261,3413297,5362666,3916745,4008778,3119013,4767285,4331877,6674059,6068319,2448660,2786238,2531244,2806633,3161485,2178292,2318191,1851125,1692526,2274253,3309599,3612508,3707711,2950435,3253969,2291100,2187964,1465038,2967269,3384974,1941228,1879732,2234498,2341674,2539640,2271959,2013280,4066131,2336066,1815597,5158350,10372990,6114655,7180825,2455574,3507140,8725549,3897068,3942626,3454816,4604305,2902272,3765483,1937283,2605639,2852872,2399705,1700714,4607093,1430901,1144412,2892489,1675933,4458740,1968576,2875808,1562476,2125017,1539161,2321939,4740439,5157771,1978019,3424957,3386720,1636925,1911662,2041826,2090497,1860143,2206089,2995129,2371772,2809722,1530133,1845313,2142979,1559668,1909949,2776203,7413095,2241965,2182431,1675815,2629126,1716525,1786463,1210578,2025246,5641268,5146233,2082836,3882381,2953136,1648332,1648723,1311495,1655889,2011365,1872837,2430857,2415777,2211388,2188062,3429404,2364606,1264960,1328170,1142648,1582392,1481736,4695784,2342383,1580788,1784489,1457950,1432480,1956218,1399823,2409319,2444429,1664339,1337225,1286570,1350263,1784196,1602808,2024748,1887386,1192946,986664,1437462,1547719,1231902,1113728,1792392,954045,1004993,1063889,2119994,1772367,1661204,1334452,1614980,2017365,2602516,3520985,2457979,2475511,2029135,1114686,937084,1005934,1248390,1301389,1344138,6545684,2388130,1281457,1224421,666162,1877764,2282197,1646792,2982554,2247170,1232457,1318814,2690693,1559221,1532358,1382874,2041285,3000608,1550503,4519363,2215265,1933768,1057510,451867,776853,968666,1393759,797060,2148511,1893992,2908653,3302573,2598874,2871196,2831793,1383336,1534000,1560697,1245543,1314103,1125489,984094,1382899,1700533,3537673,3000232,1737627,1982966,1587059,2480402,4163882,2979970,2477652,2558278,1857089,1914686,1694734,2176880,4516486,2696014,1775850,1969756,2354958,2748130,2457794,3107193,2020735,1659228,2821676,2549097,3321918
"310","MU","Micron Technology","Information Technology",20184045,16826595,18791489,50303181,29755395,22405701,19148555,16059493,26550790,21638614,22732675,20549195,24067662,22604370,26146124,28555345,27310073,18544882,19306749,30783775,28550849,20481023,19998615,19795257,23358721,20891081,15929036,26776853,47180808,23679687,20920168,21547966,23335537,20797112,27051214,33321075,41894208,28100934,36349245,40288568,33272718,36893228,28222016,26223045,30313741,31260751,31652856,38525899,40117178,35264761,36879094,34869000,36518999,31015192,37667447,45286038,45587995,54091017,62564931,39791531,33763946,36723661,37452839,31457661,28522389,37899134,34646388,27694408,39840439,30449948,25737981,22389406,26588971,23388325,30463349,32482200,21398338,22273104,16592827,16667220,25234949,35742961,28585360,28193974,21377060,21007549,22011853,16372090,17444957,17353524,26738906,35117460,27543459,28803929,20325856,17389546,17876492,17379513,13385403,24303857,56071472,38331501,26354601,21901335,23035580,34662060,34830807,34110668,22850624,17840779,18766676,29897582,24293576,18092296,20987219,13905124,13220196,28081459,15952186,23194172,19346521,14971944,16929665,24666247,47852081,25219992,18563396,16331917,19797905,15312581,18512467,18128740,23296371,17455171,15911411,14014236,15009573,16964148,16590124,11412629,33399936,25348045,15991714,15614360,14714763,17644313,17436426,15143482,15701196,13260598,32204675,13637316,15881467,21532825,17224430,41051686,18167321,17264524,20118140,19455520,22445445,15476669,14972192,21524906,15328888,13776961,13459067,13241826,14114221,24636210,20632830,20608463,20893626,17529098,13744721,18365511,26715417,14455967,23552413,20556870,25548983,21257519,10845269,19159965,13842288,17772994,18904049,36087184,55392583,24460003,20277462,16933667,17926198,13889331,14569659,13933654,13108832,22179391,15905594,14000580,14228730,24176188,17343402,12922246,14842646,16175695,11678896,8964755,15463712,12420700,15961140,13103224,11429516,13554355,16373614,13922596,20968501,14502115,14765542,13788739,14328409,31397249,17703614,18734474,12723552,14122261,20612569,22578584,12468450,7500221,20373490,35889063,23298933,20462288,31860827,17460614,15431056,18367270,15610587,15321960,13573729,11545370,13889265,11988148,23912509,13180361,11165128,8523980,4848465,8307265,9403371,11620343,23214527,31155894,33418227,22390857,27945289,51272079,19941576,18168370,15067676,17639331,14322563,26602543,21191673,14703299,14229542,19283422,13677969,23513350,18351383,17934352,14900200,11309855,17456045,11519706,10958008,12394788,10341986,9760761,18750428,14273930,10312768,9825586,19168058,21886532,15996657,23203201,21281678,22303910,22627419,19908856,18679626,26424120,31971097,30329128
"311","MSFT","Microsoft Corp.","Information Technology",22634546,21121681,20826702,21881740,27762026,21399951,20733946,18666414,23500783,21417871,23865360,34371659,29223486,24138777,19680766,24918117,32078067,24899940,35127771,51597470,36142690,30149052,36433339,39186324,27751381,33529074,35844267,53159906,47062921,35295834,23149516,27853113,29997471,36862376,48600385,68311066,68073295,56387148,93174906,97073557,71030810,71677019,49814383,47817251,72821057,70419274,65354385,56504304,93226366,92727446,87905868,81059817,81593173,85922661,84866215,78975176,82516727,75638224,64694427,57042291,63420326,77927186,57969926,49630735,41243284,67111697,62769038,48318234,51431775,41905264,52874338,40940833,50479610,52765625,36669595,56203749,34651604,32790804,34305320,33194384,34392694,51286559,53875857,39370474,30372862,36839168,32139299,28315992,30912638,30892660,32038199,44711488,41873911,46610382,35306620,26799116,31261334,29032741,20826898,36073609,39517146,33831824,42146720,22668821,30794585,27311016,28761809,39893643,33211590,29783916,43872329,52854672,43373587,32770189,42556656,25687822,23061648,44441141,32818929,30917447,36740647,27803933,54675780,26701586,34310283,32071431,29322547,32033747,33600749,33602226,33122280,26178663,38135816,37598121,32248893,29940718,31636070,36386080,37702523,49605692,67457035,39826989,30160867,23251388,19632602,25079596,51247969,78983009,49280056,28858621,32656843,27820421,36716462,36446459,28041364,22588870,17958936,20063496,21336167,27627561,26981478,36249319,25460147,23043696,39600828,57602195,26292896,28774156,25791235,34080839,58400288,59664072,52924330,45678986,35461514,33620073,30375768,21823942,26372464,34011257,55225326,39839657,33517065,30803780,31202493,29437312,32004936,24464472,33829088,27158418,33154781,21331561,28554261,25681054,19925837,26458047,40461368,28950843,23451713,22733064,26057882,27625841,22753511,22724906,22351450,18879608,37111561,36700325,51195593,31432563,36980111,30842163,27512030,42311777,36080137,25231895,44394950,44045120,29440788,21616115,18630307,24953344,24154112,28372789,24792746,22843119,25683507,33830438,21012887,14512213,33064753,30498026,23724509,25120922,24666039,24619997,23284094,32440603,26467017,30979440,28798379,27018106,35023253,32515784,63354922,37181886,22643397,18699638,10550572,17762701,17403213,20272337,20942132,37130139,23822953,35930653,27694480,22956206,23047029,23148341,20087080,29346737,31746512,30480859,37777260,30749553,30172663,33152095,49169601,69870638,49111159,42503138,33314193,25678356,27158104,25296100,18054752,22211929,23471475,22117240,15751059,16561079,26728487,21451617,16925563,25262600,36182764,30228704,26339746,39118089,37545055,25332837,22812459,34029526,44727785,41872770
"312","MAA","Mid-America Apartments","Real Estate",488115,481288,492748,380758,500559,353098,552879,572086,475539,800913,387028,537001,760507,528841,400740,402189,417589,487371,458149,746146,749798,451692,370395,578121,348049,433377,754436,589903,402697,541861,569981,539435,484177,558550,703105,728161,825004,841757,1072831,1818268,993365,1181040,1180101,917888,865273,1198655,1365701,1012389,1357232,1146884,1137859,1349294,1118423,854951,1731907,1247324,1483759,1311892,1149076,1287339,1139710,2255821,1274807,1515094,1079980,1144059,781560,1048309,1328665,817790,1283953,871536,594081,642531,593717,888752,665901,696178,578541,479746,821155,762892,620222,847445,977059,833994,768273,925043,598166,929818,1126182,829184,1054664,1782826,913978,636760,734200,735659,430690,586521,843357,602766,863736,472041,643690,700218,755797,860901,801036,684516,593422,849961,1113802,1204056,833817,631869,862119,2252352,662940,644416,805384,671490,735058,441568,1039866,504088,601481,396406,544372,662088,466569,530942,571090,652353,696704,465922,488987,421018,438967,984650,422901,443891,429099,514595,549257,857532,720420,537485,603481,287247,375743,454228,575504,561903,260101,389710,765595,283872,320552,623438,384375,307986,353577,336777,394528,331165,392304,481188,364776,872371,519955,477468,639527,488714,696935,581506,471477,308320,551238,650392,1150826,751979,727373,653936,502739,693805,412874,279912,761601,740468,852660,583841,610589,499280,476579,368017,244459,639734,492169,593490,665519,351198,489430,483693,448232,358619,387425,379733,703415,609734,574787,725016,594781,385215,632291,481448,1211187,821484,682533,569262,543155,647624,482390,434087,691949,577826,721728,578135,422982,314239,2082825,811389,536938,736729,610314,430990,533600,747918,629635,716415,477455,532006,684203,858104,1942613,853728,605968,602842,98008,458572,311466,329795,405544,702974,630520,696619,661805,767920,557703,593697,661789,1155031,965579,779349,494241,528583,509936,650305,526523,658971,635889,1217562,707530,650323,834457,873774,550856,735884,777185,616173,717677,504814,615012,375334,360436,444410,862992,824605,700851,577809,847503,1392871,919265,795822,886037,892806
"313","MHK","Mohawk Industries","Consumer Discretionary",585242,843671,1035259,743944,594369,658281,723430,654663,916817,973116,819036,772862,827395,619249,797380,530491,619969,380905,499200,532260,484778,572584,465885,782552,508233,432805,576974,712268,672590,688053,2264567,1082376,778106,769314,833680,887482,966651,1283422,1044309,1615458,1222987,1304386,798124,682988,1049463,979305,851530,1163874,1231918,1663595,1332346,1216041,1463096,1785493,1745677,1289207,1183574,1410075,1176955,1117828,1101563,1034612,1218255,1638953,1078292,1360559,1611886,1083849,941106,516492,639032,579113,933959,1212325,590596,721446,570053,980820,1090784,953035,878818,844737,477083,486426,1001441,1352197,741129,607605,672712,715754,651062,874141,754488,563441,803895,662527,483057,500226,361659,1077575,816283,833526,1488133,563308,592473,848826,1177467,1137846,801819,711436,870026,1004568,687900,726528,849514,787643,461256,1136402,461582,3397651,1154064,697197,902560,538900,723800,612800,542400,917500,1519000,2594100,10932400,4356700,3935200,4160700,1497400,1789900,1435100,1230231,1059662,1278388,908306,1553072,1554931,1681880,903878,710672,1045603,1195531,978437,943162,1058869,1338437,967286,640729,753093,468178,617417,782348,975985,578014,530366,560437,638372,629600,454648,821289,675451,712469,785113,522224,571111,432475,499738,422428,537944,532864,642063,762594,527392,596427,849454,584466,422867,290437,524487,487329,569702,407416,732666,508823,504770,454132,500882,368501,415260,740923,445723,515900,561050,378183,582388,540321,377744,438100,553705,471844,593420,448316,512916,762326,1809118,1887086,976013,908101,719981,541678,1117906,792624,793987,621261,523198,711691,656116,493710,717741,397396,547141,737317,474388,244896,840063,559819,684659,991091,483812,1044888,432907,823557,838727,579104,832488,577236,642543,798087,1563036,574456,490544,424268,161808,332883,397701,349347,363658,590873,580018,550479,397335,431590,793221,530000,407157,436092,386996,319063,347985,353253,367219,373561,204857,473582,441954,444837,286992,515799,242047,392754,570746,526474,664480,865274,767665,1303008,652821,594992,482648,360162,603178,599174,594080,679672,819058,425530,554715,473424,638807,569899
"314","TAP","Molson Coors Beverage Company","Consumer Staples",1771356,1955298,2428511,2387203,1979036,1341127,1044500,1778812,2209534,1251245,1138903,1020043,1495625,941122,1267530,1415162,1294011,1274321,1043382,1136413,3851336,1656827,1382756,1489143,1256602,979309,1316033,1889990,6470573,2232893,2123398,2385851,1688591,1113031,1636658,1706801,2277801,3069552,3142070,3088391,2476651,1652686,2162618,2352136,3069484,3171177,2905706,2655259,3943333,4338314,3975626,4528757,4106793,2754171,4171271,3005630,3067633,3071871,2907649,3070416,2206766,2228946,1562212,2559363,1846960,2000084,2121224,1708722,2077584,1674044,1816439,1579787,2695672,2335191,1630847,1830611,1453887,1500656,1354838,1647407,2673580,3021200,5457697,2656295,2930649,1991142,2020461,2050162,1593444,1883466,2103303,2382936,2442501,1955300,1873558,1478809,1692052,5580722,2850723,5742253,4858036,2894774,3545168,1907646,2099770,4121798,7417417,2950764,2807162,2709020,2070740,3148816,3261146,2470219,4256782,2001971,1357098,3881334,1757303,1891216,3022206,3318107,3602879,2799900,6521200,2926700,1438000,1564500,2008800,2131400,2151200,1505200,2087000,1805500,2148100,1213200,1492100,1856800,1815954,1422932,1922751,1574596,1613797,2113194,2572843,4292981,4412808,1759270,1562886,1630319,1580180,1428465,1744691,1841661,1703050,1071297,900650,1620145,1050981,1140269,987546,1812882,1050584,929079,856749,868170,1274069,1905412,1865933,1582947,2338984,1639615,1820668,2424908,3361443,2806982,1690578,3739048,2471808,2122305,4989343,3717042,2191583,2822421,3589191,2355119,1834807,3779333,2427273,3057522,2840373,2623912,2290640,2948816,2278769,1649353,5442736,1904351,1468914,1897154,1547550,1475803,1434641,1864080,1481910,1246367,1528160,1961746,3257510,5140036,5588613,4932329,4029976,5643411,2899284,2122688,4295091,3365936,2119520,1907324,2885473,3913426,2400717,3211656,1625709,1740500,1853755,3356117,3480437,2205252,5411707,3324188,3255501,1832291,1751500,2093617,2275679,1894761,1781358,1671606,2308452,1518054,3328492,1777824,2921981,1387276,2782434,1126652,502902,2206553,2109457,1202037,1030935,1857088,2619173,3361000,1918562,1134381,2197687,2893965,2611184,1902945,1855100,1783764,2002283,1560759,1283884,1825309,2545366,3783708,2110733,2513393,2495973,1822749,1856116,1767394,2088389,1823281,1901562,3005775,8179735,4751454,3576874,2973329,2184047,3055044,2202260,3445251,3039845,2919238,2597627,1385963,1795489,2711738,2684039,3987045
"315","MDLZ","Mondelez International","Consumer Staples",7272946,6791739,5906380,6716447,5435515,5653906,4639027,6201879,5984182,5681677,5481791,9336363,8901204,4505297,6536575,5916401,5602945,7426103,5573911,18286135,14070269,7686397,7231873,7629317,5180981,5941959,5561946,4446654,7041419,5871976,4959008,6972742,5448330,5008876,5709044,6232242,7636458,9747026,14101019,14447343,12252617,13008179,12787198,10517033,9781193,15615197,16742269,14984305,15532975,15074277,12679529,15149311,15316280,15194463,16246047,13466939,12476309,12419787,11595411,8254368,8356565,9248777,9069196,6818454,7788484,9426764,9592544,5820856,7989978,5398675,6905118,7335702,7143587,10669654,7040806,8171023,5691905,9781303,6263059,8014621,8869058,9774331,13343137,7063039,6857101,5221369,6256018,5998309,5846499,5329719,4474929,4569629,5148849,6039213,8511241,5640145,6851905,5809274,4240994,7378270,9119994,6826815,8353286,4428802,7972474,4967361,7552027,15526143,9139110,5131277,6183147,8679705,6011100,5159181,8363220,5308005,6471064,8968586,3625717,3716683,6112802,4960344,10389769,4446115,6149634,5091468,5530621,4346578,4954703,3881512,5077196,5195981,5932985,6908165,9329472,5336390,5672052,4905815,5539656,4853284,5232603,5456904,5039613,6364259,9324560,7897595,7443873,4318544,4717079,4589241,6047994,5190337,4450651,4752074,6796764,3731011,3934053,4856654,7077638,7431926,5136969,6411239,4441074,4781616,4798116,4473198,3864999,6261878,5356180,5296129,9118594,8867388,8459539,7099990,6721177,6351280,4612017,5236483,5677016,8430763,10463140,6385021,8876943,7038558,6233769,4742975,5477489,6352548,6130680,5875288,6198506,5144939,5015269,4770062,4483076,4513637,8333959,5345791,5130853,5815158,5872563,3940673,4131759,4117163,3528760,3942467,6983485,4402932,6288969,5951887,6574122,6042889,7200749,8391869,5744703,4527788,8273776,7449461,5867458,3890823,4704060,5018589,4674475,4978832,6273843,4884293,4934732,9094499,4232560,2644175,7659848,7383759,5054916,7775380,5384947,4834847,5313158,8669652,8654398,4992609,5204472,5466200,5727150,7811318,10574848,5987441,4887087,4273378,2347758,3496472,4479484,4490361,5321582,9187214,5422069,7663203,8589248,6642748,6762015,7441928,7276578,7325201,7410393,6672101,5179209,6938668,6241922,7388722,4759795,7583001,7522720,14260992,8868187,7368961,7583064,7185561,4961645,5432568,9533267,12845419,7487110,7845248,7615240,9244511,9500352,7071910,7146147,8987550,7121150,7824080,8857407,7076427,7706721,10085597,15288602,13707752
