"","date","mean_ind","mean_health","mean_info","mean_comm","mean_con","mean_ut","mean_fin","mean_mat","mean_rlest","mean_constpl","mean_nrg","mean_tot","groupa","groupb","groupc"
"791",2019-02-25,125.679128985507,165.272327419355,112.078563513514,168.827708333333,220.632776666667,71.5518518518519,98.2805384615385,101.870625,111.5275,83.2606666666667,62.2306818181818,128.295974332649,161.921805696203,110.791075316456,92.5916666666667
"792",2019-02-26,124.912971014493,164.038790322581,111.409571621622,168.287504166667,220.043583333333,71.3696296296296,97.7267692307692,101.548991666667,110.859666666667,83.0346666666667,62.3568181818182,127.680285831622,161.302679746835,110.179815189873,92.1538596491228
"793",2019-02-27,124.570507246377,163.833143548387,111.155866216216,167.997491666667,219.96075,71.2633333333333,97.8404153846154,101.395,110.560166666667,82.84832,62.5959090909091,127.525093223819,161.108347468354,110.053620253165,91.9458771929825
"794",2019-02-28,124.832971014493,163.764596774194,111.361121621622,168.6375,216.826468333333,71.5996296296296,98.2956923076923,100.862083333333,111.553,83.4583333333333,61.7136363636364,127.342158316222,160.111462658228,110.274588607595,92.6277192982456
"795",2019-03-01,125.303550724638,166.536935483871,112.146618918919,170.272825,216.998566666667,71.6740740740741,99.0783076923077,101.250833333333,110.968333333333,83.5536666666667,62.1636363636364,128.100855441478,160.793111392405,110.861107594937,92.3552631578947
"796",2019-03-04,125.421811594203,166.545877419355,112.307705405405,171.91625,217.559333333333,71.8151851851852,99.2350769230769,100.943125,111.152333333333,83.3586666666667,62.5609090909091,128.324157289528,161.331140506329,110.930506329114,92.5189473684211
"797",2019-03-05,123.989275362319,163.68564516129,110.932890540541,172.13875,217.352333333333,71.7474074074074,97.7552153846154,100.5875,111.528,83.0833333333333,62.1745454545455,127.303537782341,160.642429746835,109.642082278481,92.6845614035088
"798",2019-03-06,123.294166666667,162.665564516129,110.391468918919,172.159958333333,218.139766666667,71.74,97.2257076923077,100.4437375,111.437166666667,82.7778333333333,61.4686363636364,126.956502874743,160.691099367089,109.098849367089,92.6332456140351
"799",2019-03-07,121.965213043478,159.671879032258,109.293175675676,171.1225875,218.263126666667,72.0818518518519,95.852,99.35,111.739,82.6036666666667,60.7313636363636,125.940535728953,160.065979113924,107.787213291139,92.9540350877193
"800",2019-03-08,120.826176811594,158.042903225806,108.285867567568,169.268125,215.075666666667,71.9544444444444,94.7590769230769,98.4560416666667,111.468333333333,82.591,59.0345454545455,124.64351211499,158.102083544304,106.704374683544,92.7512280701754
"801",2019-03-11,122.026697101449,159.95459516129,110.527837837838,172.768541666667,216.560791666667,72.4459259259259,95.8660769230769,99.9602083333333,112.471666666667,83.0146666666667,59.6790909090909,126.119280287474,160.247800632911,107.912544936709,93.5121052631579
"802",2019-03-12,122.421594202899,161.65704516129,111.200998648649,175.047075,217.639431666667,73.032962962963,96.31,100.595208333333,113.357333333333,83.48,60.5043181818182,126.983031622177,161.318794936709,108.364082278481,94.2563157894737
"803",2019-03-13,123.138913043478,163.796169354839,112.257916216216,175.883216666667,219.41525,73.2644444444445,96.8747692307692,100.728333333333,114.007,83.86497,61.0054545454545,127.958736344969,162.61517721519,108.929905063291,94.7078947368421
"804",2019-03-14,122.714130434783,163.521696774194,112.023431081081,175.544375,218.508583333333,73.4144444444444,96.9776846153846,100.0375,113.88,83.7951666666667,61.4218181818182,127.694268172485,162.10958164557,108.681800632911,94.7121052631579
"805",2019-03-15,122.692804347826,164.805967741935,113.459071621622,175.535416666667,219.689958333333,73.505,97.725,100.1608125,113.9188,84.2913666666667,61.4107681818182,128.361301232033,163.229232911392,108.998658227848,94.7754210526316
