"","date","mean_ind","mean_health","mean_info","mean_comm","mean_con","mean_ut","mean_fin","mean_mat","mean_rlest","mean_constpl","mean_nrg"
"58",2020-03-25,9346078.77464789,5635748.20967742,10225407.48,15234921.4230769,13113375.1639344,4440738.53571429,10631452.4153846,5399107.75,4248612.16666667,8675570.96774193,19043557.8695652
"59",2020-03-26,8018500.33802817,5303634.38709677,9278324.30666667,12732485.1538462,11481111.1803279,3943711.89285714,9284170.38461538,5025573.64285714,3809082.9,7900014.93548387,18306247.3913043
"60",2020-03-27,5969680.3943662,4257347.14516129,7745800.22666667,11276292.3846154,9289040.32786885,3692529.10714286,7619240.24615385,4432577.14285714,3462900.96666667,6242664.16129032,15932609.5652174
"61",2020-03-30,5550646.94366197,4738213.72580645,7192382.76,10645444.1153846,8097967.80327869,3956832.07142857,6493276.13846154,3537525.5,3524568.96666667,5919903.41935484,17477942.9130435
"62",2020-03-31,6118384.49295775,5021148.32258064,8922065.05333333,11609316.9615385,11873634.9672131,4554592.60714286,7214485.70769231,4864621.21428571,4504043.93333333,6652892.29032258,16938291.4782609
"63",2020-04-01,6485838.42253521,3713055.0483871,7812789.6,10371739.8461538,10909864.442623,3708524.32142857,7321978.53846154,4633278.39285714,3749391.96666667,5738573.4516129,15232309.6521739
"64",2020-04-02,6370595.98591549,3789789.01612903,7291585.74666667,9405679.69230769,12144580.6393443,3853843.28571429,6558392.49230769,4773842,3615662.96666667,5823282.12903226,24918734.3043478
"65",2020-04-03,6569165.6056338,3474153.72580645,6186043.33333333,9803672.42307692,9499734.42622951,3905704.71428571,6157007.96923077,3882932.14285714,3024145.56666667,4874009.80645161,22224336.2173913
"66",2020-04-06,8212826.90140845,4515099.09677419,8352540.28,11059212.6538462,11977217.8032787,3378971.39285714,7507872.6,4842591.39285714,3494850.13333333,6412907.70967742,17350243
"67",2020-04-07,9008984.25352113,4101502.88709677,8370874.02666667,11673814.0384615,12981899.1147541,3565938,7658908.67692308,5101385.85714286,3577635.6,6077240.83870968,20141650.6086957
"68",2020-04-08,6826218.08450704,3616013,6488595.24,9580047.38461538,9510100.86885246,3104332.96428571,6421155.46153846,3577717.03571429,3198214.7,5069488.70967742,15303194.0434783
"69",2020-04-09,8669323.32394366,3788804.77419355,7497662.16,10760364.8461538,12483123.8852459,4042849.92857143,9202463.56923077,5091489.78571429,4375202.23333333,5566703.19354839,27672030.2173913
"70",2020-04-13,6230508.95774648,2960419.14516129,5550644.4,7870472.07692308,8114223.59016393,2357880.03571429,6115703.15384615,3417642.85714286,2439598.93333333,4132298.22580645,15477916.5217391
"71",2020-04-14,6313937.26760563,3404228.70967742,6819353.54666667,8340584.61538462,7960705.18032787,2712748.39285714,7486675.63076923,3335936.21428571,2601348.66666667,5130904.19354839,14293844.9565217
"72",2020-04-15,8441200,3289311.70967742,5936774.61333333,8343640.11538462,6866796.80327869,2849008.32142857,7034586.61538462,3322943.75,2758620.73333333,4503224.67741936,14535515.826087
"73",2020-04-16,7944028.29577465,3705482.25806452,7088086.70666667,9177270.38461538,6812702.63934426,2883459.25,7282173.49230769,3214835.75,2715496.33333333,4878042.29032258,12703784.173913
"74",2020-04-17,7642039.98591549,5175546,7128743.18666667,9003307.73076923,8215520.37704918,2693185.57142857,7979072.70769231,4179286.35714286,2939610.06666667,5472790.35483871,17015504.826087
"75",2020-04-20,5948403.04225352,3607051.9516129,6014199.50666667,7219325.92307692,6476918.37704918,2569232.10714286,6501957.18461538,3007666.75,2645537.56666667,4462585.09677419,17450556.8695652
"76",2020-04-21,5156111.30985915,3622726.14516129,7885752.69333333,9449381.65384615,6720568.85245902,2820753.46428571,6557658.92307692,3480363.82142857,2676949.86666667,4973955.32258064,16761519.5217391
"77",2020-04-22,6666019.16901408,3102758.16129032,5780908.50666667,9457598.30769231,6454350.44262295,2353034.5,5102914.30769231,2875913.96428571,2254199,3933628.80645161,14096721.9565217
"78",2020-04-23,5482504.16901408,3938660.93548387,5752882.30666667,8449699.26923077,7166875.75409836,2423900.35714286,5851613.13846154,2861376.71428571,2381851.5,4656241.12903226,16979023.6086957
"79",2020-04-24,6812442.33802817,2915866.17741935,5913208.29333333,7974949.76923077,6224824.80327869,2624228.39285714,5795037.72307692,3391406.57142857,2635643.96666667,4096811.67741935,15903754.1304348
"80",2020-04-27,6205530.64788732,3072758.30645161,5285731.50666667,8132648.53846154,7595356.42622951,2310002.25,6153381.21538462,3041930.75,2348791.83333333,4165223.83870968,12113273
"81",2020-04-28,9049834.32394366,3458804.06451613,6107539.28,8219251.53846154,9211856.63934426,2532412.82142857,5959441.86153846,3820068.21428571,2903120.5,4587852.12903226,12189060.6956522
"82",2020-04-29,11034155.3521127,4375911.35483871,7550248.42666667,10401312.8461538,10541396.295082,2670956.75,6671094.72307692,3380287.32142857,3707586.8,4994675.83870968,16279228.5652174
